,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,income_rounded,signup_date_formatted,last_purchase_date_formatted
213,214,68,68900,649.6054517,Male,South,12,Health,23.10964782,22-04-2021,24-06-2022,68900,22-04-2021,24-06-2022
214,215,39,43300,1167.867709,Male,North,21,Clothing,90.34436965,19-06-2022,22-06-2023,43300,19-06-2022,22-06-2023
215,216,45,115300,704.3374873,Female,West,21,Health,9.728136835,10-01-2022,25-02-2022,115300,10-01-2022,25-02-2022
216,217,19,26700,1635.223421,Male,East,43,Toys,25.36120557,26-04-2021,29-04-2022,26700,26-04-2021,29-04-2022
217,218,59,113100,944.1216257,Male,West,6,Clothing,66.30234383,22-05-2021,26-10-2023,113100,22-05-2021,26-10-2023
221,222,70,36100,1008.619833,Male,North,14,Electronics,38.79305377,17-03-2021,13-02-2023,36100,17-03-2021,13-02-2023
223,224,45,83700,245.9971392,Male,East,1,Health,16.26061323,10-04-2021,01-03-2022,83700,10-04-2021,01-03-2022
225,226,61,48800,1747.857043,Male,East,34,Electronics,22.26940117,13-04-2022,26-11-2022,48800,13-04-2022,26-11-2022
227,228,37,26000,1971.894535,Male,South,3,Home & Garden,68.22006059,19-10-2021,20-10-2021,26000,19-10-2021,20-10-2021
228,229,47,75600,20.36932578,Female,North,42,Clothing,44.07064424,05-05-2021,18-12-2022,75600,05-05-2021,18-12-2022
229,230,79,98300,1235.679323,Female,West,6,Electronics,79.65909364,03-06-2022,13-06-2022,98300,03-06-2022,13-06-2022
230,231,28,69900,1240.527791,Female,West,6,Health,86.14449346,23-01-2021,25-04-2022,69900,23-01-2021,25-04-2022
231,232,75,62100,925.7372506,Female,West,20,Home & Garden,84.59888774,11-06-2021,22-04-2022,62100,11-06-2021,22-04-2022
234,235,42,41900,841.6216634,Female,South,26,Health,65.01417346,21-01-2021,13-11-2021,41900,21-01-2021,13-11-2021
235,236,56,57900,1466.375105,Female,East,31,Home & Garden,32.19830873,09-04-2022,30-09-2022,57900,09-04-2022,30-09-2022
237,238,50,64000,411.3256568,Male,South,32,Health,49.56643823,17-05-2022,21-11-2022,64000,17-05-2022,21-11-2022
240,241,44,101600,1060.011669,Male,South,6,Clothing,79.66836461,07-07-2022,13-12-2022,101600,07-07-2022,13-12-2022
241,242,79,115000,240.1933197,Male,West,23,Health,19.20097765,22-07-2021,17-07-2022,115000,22-07-2021,17-07-2022
242,243,74,25500,1738.975205,Female,West,28,Toys,28.75717489,20-02-2022,15-03-2022,25500,20-02-2022,15-03-2022
243,244,69,48900,608.775832,Female,West,49,Toys,98.2838548,02-10-2022,11-11-2023,48900,02-10-2022,11-11-2023
244,245,30,26300,341.8252152,Female,East,30,Toys,37.35485541,22-05-2021,23-05-2021,26300,22-05-2021,23-05-2021
245,246,58,96300,1357.730193,Male,West,14,Home & Garden,78.37223574,07-09-2022,18-05-2023,96300,07-09-2022,18-05-2023
246,247,20,54000,95.41087519,Male,South,37,Health,44.68154684,17-04-2021,19-12-2021,54000,17-04-2021,19-12-2021
247,248,56,119200,1247.537758,Female,East,32,Clothing,86.40959241,13-06-2022,14-10-2023,119200,13-06-2022,14-10-2023
249,250,25,70300,445.5347321,Male,North,34,Toys,2.291005989,30-07-2022,27-05-2023,70300,30-07-2022,27-05-2023
250,251,44,104800,103.0888654,Male,West,41,Electronics,29.43898859,19-11-2022,08-07-2023,104800,19-11-2022,08-07-2023
251,252,26,45100,740.0178107,Female,West,44,Home & Garden,55.79923149,18-10-2021,18-12-2023,45100,18-10-2021,18-12-2023
252,253,79,47400,215.2165759,Female,East,22,Home & Garden,92.61740441,07-11-2021,21-04-2023,47400,07-11-2021,21-04-2023
253,254,54,95100,250.6261424,Male,South,31,Health,10.20298946,30-10-2022,28-05-2023,95100,30-10-2022,28-05-2023
255,256,68,53800,605.0264908,Male,East,41,Health,30.21767314,22-02-2021,09-10-2023,53800,22-02-2021,09-10-2023
256,257,59,41700,1069.341275,Male,East,21,Electronics,88.9327782,08-08-2022,25-03-2023,41700,08-08-2022,25-03-2023
257,258,61,95600,1363.215933,Female,South,16,Clothing,76.51696097,02-07-2021,26-09-2021,95600,02-07-2021,26-09-2021
260,261,76,65300,360.7303443,Male,North,44,Toys,1.14979724,13-01-2021,13-05-2021,65300,13-01-2021,13-05-2021
261,262,71,54100,1759.963115,Female,West,47,Electronics,62.11344507,13-07-2022,17-07-2023,54100,13-07-2022,17-07-2023
263,264,49,50500,1742.476909,Female,North,48,Toys,31.47564929,11-10-2021,16-11-2022,50500,11-10-2021,16-11-2022
264,265,41,104000,755.6620924,Male,East,32,Home & Garden,98.55022916,19-07-2022,04-04-2023,104000,19-07-2022,04-04-2023
266,267,69,104100,1056.853564,Male,North,5,Toys,74.98392836,08-01-2021,23-12-2021,104100,08-01-2021,23-12-2021
267,268,66,77500,651.8645098,Male,East,11,Electronics,17.74124173,13-03-2021,23-07-2021,77500,13-03-2021,23-07-2021
268,269,79,34500,950.4324366,Female,East,15,Clothing,1.345525774,08-04-2021,16-04-2022,34500,08-04-2021,16-04-2022
269,270,66,23500,1014.931936,Female,North,29,Electronics,41.75626194,28-03-2021,09-04-2022,23500,28-03-2021,09-04-2022
270,271,75,115900,417.52653,Male,East,45,Health,66.56648349,11-04-2021,12-05-2022,115900,11-04-2021,12-05-2022
271,272,69,28400,643.7205373,Male,South,4,Health,50.65986962,08-10-2021,03-12-2022,28400,08-10-2021,03-12-2022
272,273,29,54900,1586.991306,Female,East,49,Electronics,89.04662576,16-10-2021,17-04-2023,54900,16-10-2021,17-04-2023
277,278,66,118000,1363.412514,Female,East,46,Home & Garden,26.96478616,03-01-2022,20-02-2023,118000,03-01-2022,20-02-2023
279,280,66,73100,1975.744087,Female,South,3,Clothing,79.33097732,06-04-2021,28-10-2022,73100,06-04-2021,28-10-2022
280,281,73,110200,664.8559081,Female,South,32,Home & Garden,82.50914608,18-09-2021,23-12-2023,110200,18-09-2021,23-12-2023
281,282,34,103900,800.3893726,Male,East,10,Electronics,3.329778357,27-05-2022,17-12-2023,103900,27-05-2022,17-12-2023
282,283,76,104600,1214.601708,Male,North,40,Toys,35.86455984,01-05-2021,23-08-2022,104600,01-05-2021,23-08-2022
283,284,66,43300,1607.334901,Female,North,38,Home & Garden,74.98764546,01-01-2022,15-10-2023,43300,01-01-2022,15-10-2023
284,285,19,81400,949.6469574,Male,South,22,Home & Garden,94.63818475,28-11-2021,12-09-2022,81400,28-11-2021,12-09-2022
285,286,19,103400,856.8589469,Male,North,14,Electronics,37.78182838,21-02-2021,06-12-2023,103400,21-02-2021,06-12-2023
287,288,71,90600,40.77740946,Male,East,21,Clothing,39.37204065,14-11-2021,30-12-2022,90600,14-11-2021,30-12-2022
288,289,40,102000,1792.229272,Male,North,48,Electronics,17.94946272,06-11-2022,25-03-2023,102000,06-11-2022,25-03-2023
289,290,54,114800,315.2988354,Male,East,15,Health,0.344614378,03-12-2022,09-12-2022,114800,03-12-2022,09-12-2022
291,292,50,28000,1243.504488,Female,South,1,Toys,37.84750507,20-08-2022,04-02-2023,28000,20-08-2022,04-02-2023
292,293,18,42500,696.8576253,Male,East,24,Electronics,94.51175289,13-07-2021,08-08-2022,42500,13-07-2021,08-08-2022
294,295,79,22100,45.5563114,Male,South,10,Toys,38.2230708,21-01-2021,20-05-2023,22100,21-01-2021,20-05-2023
295,296,19,45300,468.8474911,Male,East,46,Clothing,2.515412982,03-02-2022,18-12-2023,45300,03-02-2022,18-12-2023
297,298,61,39800,716.0536749,Male,North,42,Home & Garden,91.51412363,21-07-2021,14-03-2023,39800,21-07-2021,14-03-2023
298,299,43,49400,1228.547441,Female,West,31,Clothing,23.78206473,11-04-2022,25-05-2022,49400,11-04-2022,25-05-2022
299,300,49,35100,67.73818295,Male,West,11,Electronics,42.89951106,31-05-2021,06-03-2022,35100,31-05-2021,06-03-2022
300,301,23,76700,250.5886824,Male,East,16,Home & Garden,12.21126214,08-06-2021,01-08-2022,76700,08-06-2021,01-08-2022
301,302,49,25200,271.6505556,Female,West,9,Toys,45.68354303,06-11-2021,29-07-2023,25200,06-11-2021,29-07-2023
302,303,72,114900,394.7816189,Male,East,47,Clothing,13.33424636,19-05-2022,16-11-2023,114900,19-05-2022,16-11-2023
303,304,21,22900,929.4762528,Male,South,14,Health,52.33484944,26-01-2021,12-08-2022,22900,26-01-2021,12-08-2022
305,306,28,63700,1812.966899,Male,East,31,Clothing,55.33427748,20-09-2021,07-01-2022,63700,20-09-2021,07-01-2022
306,307,73,62900,1674.03761,Female,East,9,Home & Garden,24.52195784,17-04-2022,17-07-2023,62900,17-04-2022,17-07-2023
307,308,76,33500,409.8379861,Male,West,36,Toys,35.37959855,16-06-2021,26-11-2023,33500,16-06-2021,26-11-2023
308,309,34,37100,893.4780934,Female,East,39,Toys,63.85727377,03-06-2021,09-11-2023,37100,03-06-2021,09-11-2023
311,312,22,27800,1017.023023,Female,South,24,Home & Garden,84.49494736,17-02-2022,12-10-2023,27800,17-02-2022,12-10-2023
313,314,51,87200,451.9851726,Female,South,19,Health,16.23692245,03-07-2021,01-09-2023,87200,03-07-2021,01-09-2023
315,316,39,82500,942.9102595,Female,South,48,Health,96.55517746,13-07-2021,02-08-2022,82500,13-07-2021,02-08-2022
316,317,28,65700,901.8653214,Male,North,30,Electronics,28.15351112,02-01-2021,19-10-2023,65700,02-01-2021,19-10-2023
317,318,65,43300,48.84296641,Male,North,22,Home & Garden,90.85935879,03-08-2021,01-10-2022,43300,03-08-2021,01-10-2022
319,320,50,21500,1735.259023,Male,North,44,Home & Garden,38.59214305,10-08-2022,13-04-2023,21500,10-08-2022,13-04-2023
321,322,77,57500,841.9473803,Male,South,4,Clothing,0.988328778,28-04-2022,15-09-2022,57500,28-04-2022,15-09-2022
322,323,76,112600,48.37519362,Male,West,37,Toys,33.80895216,15-07-2022,01-04-2023,112600,15-07-2022,01-04-2023
323,324,23,29600,967.1042537,Female,North,8,Toys,30.26457122,01-02-2021,20-04-2023,29600,01-02-2021,20-04-2023
325,326,46,20200,1642.826915,Male,North,28,Clothing,52.9123539,15-01-2021,04-10-2021,20200,15-01-2021,04-10-2021
328,329,77,94000,581.0608564,Female,North,36,Electronics,59.05098088,17-01-2021,27-01-2023,94000,17-01-2021,27-01-2023
330,331,53,70100,1095.136303,Female,East,5,Home & Garden,24.62047685,22-03-2021,26-09-2023,70100,22-03-2021,26-09-2023
331,332,36,52600,760.1400556,Male,North,24,Clothing,29.36121651,18-10-2022,23-12-2022,52600,18-10-2022,23-12-2022
