,y_test,top1_digit,top1_prob,top2_digit,top2_prob
53,5,5,0.9999996,3,3.538896e-07
54,6,6,0.99999994,5,1.8005712e-08
55,0,0,0.9999973,8,1.3350989e-06
56,4,4,0.99999994,5,9.1433305e-10
57,1,1,0.99997205,7,1.3591636e-05
58,9,9,0.9999973,4,2.4344502e-06
59,5,5,0.99876904,9,0.0009636469
60,7,7,0.9999276,3,5.2689058e-05
61,8,8,0.9999997,2,2.5558722e-07
62,9,5,0.6237283,9,0.37594682
63,3,3,0.99821496,8,0.0011761514
64,7,7,0.9999195,3,7.9303994e-05
65,4,4,0.9995201,5,0.0003053923
66,6,6,0.9999991,0,5.0889753e-07
67,4,4,0.9847065,9,0.015193841
68,3,3,0.99999946,8,5.1256336e-07
69,0,0,0.9999576,6,3.8706265e-05
70,7,7,0.9994265,2,0.00038374806
71,0,0,0.9999983,6,1.0519332e-06
72,2,2,0.99985576,0,0.0001423284
73,9,9,0.829444,8,0.16879115
74,1,1,0.99996823,4,1.0108416e-05
75,7,7,0.99999934,4,2.7332226e-07
76,3,3,0.99999624,5,3.205302e-06
77,2,2,0.9999222,0,6.0634575e-05
78,9,9,0.99453187,8,0.005382057
79,7,7,0.9998176,2,7.994521e-05
80,7,7,0.9997697,9,0.00014981591
81,6,6,0.9999624,5,3.5783618e-05
82,2,2,0.99999994,8,7.94111e-09
83,7,7,0.9999828,3,8.7191465e-06
84,8,8,0.99999934,5,4.5437625e-07
85,4,4,0.99999803,5,1.1119637e-06
86,7,7,0.99957055,9,0.00025855526
87,3,3,0.9966565,7,0.0028601359
88,6,6,0.99999994,5,5.4860536e-08
89,1,1,0.9995757,8,0.0003222515
90,3,3,0.99999815,5,1.6847735e-06
91,6,6,0.9999998,5,1.7552357e-07
92,9,9,0.9673272,8,0.020618316
93,3,3,0.9999555,5,4.0364877e-05
94,1,1,0.9999177,2,3.5871777e-05
95,4,4,0.94266933,8,0.05568585
96,1,1,0.988252,4,0.005862907
97,7,7,0.9998219,2,0.00014303127
98,6,6,0.9999475,5,3.126833e-05
99,9,9,0.9999996,8,2.5428477e-07
100,6,6,0.9999983,5,1.3392753e-06
101,0,0,0.9999966,6,3.3891731e-06
102,5,5,0.9999955,3,4.3698833e-06
103,4,4,0.99999934,2,5.6320494e-07
104,9,9,0.9992197,8,0.00059684
105,9,9,0.9999965,8,3.1717718e-06
106,2,2,0.9999997,8,2.7280257e-07
107,1,1,0.99996907,8,1.2822216e-05
108,9,9,0.99995476,4,3.7169746e-05
109,4,4,0.99999994,8,4.033198e-08
110,8,8,0.99999994,2,9.0000185e-09
111,7,7,0.9818165,2,0.016167762
112,3,3,0.99999946,5,3.308853e-07
113,9,9,0.99998873,8,9.950129e-06
114,7,7,0.99955374,2,0.00041293353
115,4,9,0.6559698,4,0.26622728
116,4,4,0.99998087,8,1.218843e-05
117,4,4,0.99999994,9,3.5400227e-08
118,9,9,0.9986944,8,0.0013036228
119,2,2,0.9986856,7,0.0011856868
120,5,5,0.9999996,9,3.9787813e-07
121,4,4,0.99987906,8,0.00011780892
122,7,7,0.99960405,3,0.00024108509
123,6,6,0.99999994,5,5.0805777e-08
124,7,7,0.99993855,4,5.93369e-05
125,9,9,0.9995077,8,0.00033683106
126,0,0,0.99978065,9,0.00020847036
127,5,5,0.9999996,9,2.4126615e-07
128,8,8,0.99999994,3,3.0102346e-08
129,5,5,0.99999994,9,1.5834912e-09
130,6,6,0.99997574,5,2.3378767e-05
131,6,6,0.9999965,5,2.920413e-06
132,5,5,0.9999996,3,3.482725e-07
133,7,7,0.9995728,3,0.0003960077
134,8,8,0.99999994,2,6.132015e-09
135,1,1,0.9999803,8,7.1933982e-06
136,0,0,0.99999267,2,5.0640606e-06
137,1,1,0.99995345,2,3.5312656e-05
138,6,6,0.99999994,0,5.2390416e-09
139,4,4,0.999758,8,0.00014829813
140,6,6,0.9999991,5,4.2116002e-07
141,7,7,0.9999717,3,1.4028815e-05
142,3,3,0.9999972,8,2.625807e-06
143,1,1,0.9999977,2,1.2860444e-06
144,7,7,0.99997157,2,1.4874309e-05
145,1,1,0.999978,4,1.706278e-05
146,8,8,0.99999994,9,2.197216e-08
147,2,2,0.99999994,8,3.3570835e-08
148,0,0,0.9999991,6,7.7734927e-07
149,2,2,0.9985666,8,0.0013409031
150,9,9,0.9999921,8,5.7640473e-06
151,9,9,0.8720797,8,0.1278872
152,5,5,0.9999009,9,9.43905e-05
153,5,5,0.9999997,8,2.5500412e-07
154,1,1,0.999927,8,2.7516746e-05
155,5,5,0.99999946,9,4.3530693e-07
156,6,6,0.9999996,0,1.8103619e-07
157,0,0,0.999999,2,5.906309e-07
158,3,3,0.9884306,2,0.011101243
159,4,4,0.9992831,9,0.00070770766
160,4,4,0.9540094,6,0.03423513
161,6,6,0.99999946,5,3.1053457e-07
162,5,5,0.99999994,8,9.932448e-11
163,4,4,0.99999994,9,1.9723272e-08
164,6,6,0.9999983,4,9.756275e-07
165,5,5,0.99999994,3,2.4659851e-08
166,4,4,0.9999991,6,6.8336254e-07
167,5,5,0.9995864,6,0.00030089155
168,1,1,0.9999667,8,2.3408516e-05
169,4,4,0.9999997,2,1.11044734e-07
170,4,4,0.9999998,9,1.2149665e-07
171,7,7,0.8988619,2,0.047904108
172,2,2,0.9999898,8,6.693555e-06
173,3,3,0.99994224,5,3.006296e-05
174,2,2,0.9999986,8,1.2869301e-06
175,7,7,0.7514693,2,0.088997476
176,1,1,0.9999681,8,1.0644498e-05
177,8,8,0.99999946,2,1.8915462e-07
178,1,1,0.9999905,8,5.502035e-06
179,8,8,0.99999994,2,2.9694498e-08
180,1,1,0.9999593,9,1.7259868e-05
181,8,8,0.99999994,5,2.132829e-09
182,5,5,0.99999255,8,6.6013918e-06
183,0,0,0.9999992,2,4.1945253e-07
184,8,8,0.99995846,3,2.6173262e-05
185,9,9,0.9998236,4,0.00010569067
186,2,2,0.9999991,3,2.8666548e-07
187,5,5,0.99999994,3,3.2547138e-09
188,0,0,0.9999996,8,1.7910853e-07
189,1,1,0.9984374,4,0.0009116978
190,1,1,0.9954055,2,0.0027033924
191,1,1,0.99653137,4,0.0021819668
192,0,0,0.9999818,2,1.7229126e-05
193,9,9,0.9995491,8,0.00044222453
194,0,0,0.999999,2,7.985477e-07
195,3,3,0.9980097,8,0.000979642
196,1,1,0.99990624,2,3.758803e-05
197,6,6,0.9999891,5,1.0661707e-05
198,4,4,0.99999684,9,1.8491932e-06
199,2,2,0.9982134,3,0.0017287489
200,3,3,0.99994415,5,5.3778615e-05
201,6,6,0.99999994,4,1.9582181e-08
202,1,1,0.9999805,2,1.7698032e-05
203,1,1,0.9997238,9,0.00015871457
204,1,1,0.99998385,8,1.2148511e-05
205,3,3,0.99999815,5,1.7453651e-06
206,9,9,0.9997318,8,0.00025607998
207,5,5,0.9999208,3,7.9136604e-05
208,2,2,0.9999997,7,2.0776339e-07
209,9,9,0.9897235,4,0.0048654308
210,4,4,0.99999994,9,9.93458e-09
211,5,5,0.9975681,8,0.0016038098
212,9,9,0.9999997,5,1.2027417e-07
213,3,3,0.99999815,7,7.9692273e-07
214,9,9,0.99980307,8,0.00018465637
215,0,0,0.99999315,8,3.3062693e-06
216,3,3,0.99999994,5,1.4258416e-09
217,6,6,0.99308115,5,0.004070095
218,5,5,0.9999997,8,2.0300651e-07
219,5,5,0.99998564,3,1.4270648e-05
220,7,7,0.9994458,2,0.00033821227
221,2,2,0.99998397,0,8.0785585e-06
222,2,2,0.9999948,3,2.5438121e-06
223,7,7,0.999231,3,0.0004951415
224,1,1,0.99978423,2,0.00018943803
225,2,2,0.9999475,8,3.8080398e-05
226,8,8,0.9999997,5,8.710069e-08
227,4,4,0.9999868,1,8.0031405e-06
228,1,1,0.99999803,7,7.5887135e-07
229,7,7,0.99489653,3,0.0034821136
230,3,3,0.9999811,5,1.820078e-05
231,3,3,0.999876,8,0.00012119147
232,8,8,0.9998698,5,9.797864e-05
233,8,8,0.9999992,3,5.058859e-07
234,7,7,0.9915385,3,0.0055877403
235,9,9,0.9994938,8,0.0003735478
236,2,2,0.9999992,0,7.180166e-07
237,2,2,0.9999997,1,1.0732383e-07
238,4,4,0.9999996,8,2.2832033e-07
239,1,1,0.99998766,4,3.7387601e-06
240,5,5,0.9999997,3,1.7964912e-07
241,9,9,0.9988893,5,0.00065038557
242,8,8,0.9996562,2,0.00031932394
243,7,7,0.98811466,2,0.01188297
244,2,2,0.9999266,8,6.643665e-05
245,3,3,0.99997467,7,1.5461368e-05
246,0,0,0.9999967,6,3.0993801e-06
247,4,2,0.85146815,6,0.10768417
248,4,4,0.99991006,9,8.234084e-05
249,2,2,0.9999594,3,2.322771e-05
250,4,4,0.9999059,9,7.2241804e-05
251,1,1,0.99857175,4,0.00067735807
252,9,9,0.999999,4,6.023789e-07
253,5,5,0.9999983,3,1.6772758e-06
254,7,7,0.99411094,3,0.0043662754
255,7,7,0.93478113,3,0.032989003
256,2,2,0.9998703,1,6.4858854e-05
257,8,8,0.99988896,3,6.670638e-05
258,2,2,0.9999929,3,4.342627e-06
259,6,6,0.97973806,0,0.019898104
260,8,8,0.99999994,2,5.2927685e-08
261,5,5,0.99990386,3,7.082222e-05
262,7,7,0.9996111,3,0.00024637737
263,7,7,0.9998243,3,7.967539e-05
264,9,9,0.9995255,8,0.00033384463
265,1,1,0.9999731,8,1.9245457e-05
266,8,8,0.9998667,2,5.4466214e-05
267,1,1,0.9999899,8,4.894799e-06
268,8,8,0.99991316,2,7.0616035e-05
269,0,0,0.99995416,2,3.2681073e-05
270,3,3,0.9999965,5,3.5073374e-06
271,0,0,0.99999803,6,1.2263675e-06
272,1,1,0.9999655,9,1.1552589e-05
273,9,9,0.9992097,8,0.0007900069
274,9,9,0.99999326,3,5.9774393e-06
275,4,4,0.9999953,9,4.254596e-06
276,1,1,0.9999977,8,1.124499e-06
277,8,8,0.99999934,2,5.933433e-07
278,2,2,0.999312,8,0.00068800914
279,1,1,0.99998397,8,5.814612e-06
280,2,2,0.9999947,1,3.1893771e-06
281,9,9,0.9999973,8,2.5067409e-06
282,7,7,0.9883381,3,0.007994376
283,5,5,0.9999971,9,2.6832965e-06
284,9,9,0.99942744,4,0.00054534787
285,2,2,0.99999994,8,2.9785257e-08
286,6,6,0.99966407,5,0.00032103638
287,4,4,0.99999005,8,5.1455704e-06
288,1,1,0.9999886,8,6.1630863e-06
289,5,5,0.99999386,1,5.409437e-06
290,8,8,0.9983469,6,0.0013278687
291,2,2,0.9986393,1,0.001358926
292,9,9,0.9990544,8,0.00030656692
293,2,2,0.999999,8,6.9742765e-07
294,0,0,0.9999992,8,3.6266854e-07
295,4,4,0.9999997,7,1.8658065e-07
296,0,0,0.9999817,2,1.7383505e-05
297,0,0,0.99923694,6,0.0007541809
298,2,2,0.99987245,8,0.00012190671
299,8,8,0.99999994,5,2.2450736e-08
300,4,4,0.9989061,2,0.0009901995
301,7,7,0.99920565,2,0.00045326268
302,1,1,0.9999761,8,1.2541497e-05
303,2,2,0.9999433,3,2.208382e-05
304,4,4,0.9999803,8,1.9641002e-05
305,0,0,0.99999493,6,4.806745e-06
306,2,2,0.9999997,1,1.8500373e-07
307,7,7,0.9995101,3,0.00046577604
308,4,4,0.9862912,8,0.013692278
309,3,3,0.9999997,8,1.8218536e-07
310,3,3,0.9999992,5,7.690847e-07
311,0,0,0.9998226,6,0.00015672711
312,0,0,0.9999961,2,2.533782e-06
313,3,3,0.9999859,5,1.3123466e-05
314,1,1,0.9999897,8,6.629315e-06
315,9,9,0.99999493,8,4.590081e-06
316,6,6,0.99894196,5,0.00083900016
317,5,5,0.9989619,8,0.0010310665
318,2,2,0.9999922,8,3.709268e-06
319,5,5,0.9999996,6,3.032121e-07
320,9,9,0.98623127,8,0.013654342
321,2,2,0.71887666,7,0.24751553
322,9,9,0.9999606,4,3.7880993e-05
323,3,3,0.9999991,8,8.835587e-07
324,0,0,0.992386,6,0.007240754
325,4,4,0.9996842,8,0.00031486904
326,2,2,0.9527263,1,0.04686626
327,0,0,0.9999928,2,4.6781656e-06
328,7,7,0.9997276,3,0.00018619711
329,1,1,0.99997455,8,1.8226663e-05
330,1,1,0.9999903,8,2.88047e-06
331,2,2,0.99999994,8,2.0528281e-09
332,1,1,0.99998957,8,5.112351e-06
333,5,5,0.99972606,9,0.00023353045
334,3,3,0.9999997,8,1.667895e-07
335,3,3,0.99999267,8,7.044598e-06
336,9,9,0.99538887,8,0.004092685
337,7,7,0.9141288,3,0.058208663
338,8,8,0.99999696,2,2.498754e-06
339,6,6,0.99978876,5,0.00020564771
340,5,3,0.7036922,5,0.29618707
341,6,6,0.99949557,5,0.0004537543
342,1,1,0.99998564,9,4.389718e-06
343,3,3,0.999983,5,1.692934e-05
344,8,8,0.9999983,5,1.1569135e-06
345,1,1,0.9999835,7,1.058862e-05
346,0,0,0.9999967,2,1.6815655e-06
347,5,5,0.99942815,8,0.0003783105
348,1,1,0.99998325,8,1.4870001e-05
349,3,3,0.9999922,9,3.7915167e-06
350,1,1,0.9993871,8,0.00039790306
351,5,5,0.99999994,6,1.3368993e-09
352,5,5,0.9996194,3,0.0003784991
353,6,6,0.9999873,8,9.151294e-06
354,1,1,0.9999934,2,5.6160457e-06
355,8,8,0.9999997,5,1.2423973e-07
356,5,5,0.99999994,3,3.288167e-08
357,1,1,0.99949485,4,0.00014129361
358,7,7,0.99976397,4,0.00013155994
359,9,9,0.6539503,8,0.34252506
360,4,4,0.99999994,9,8.463981e-09
361,6,6,0.9999998,5,1.2168253e-07
362,2,2,0.99967027,3,0.00013340017
363,2,2,0.9999295,1,7.013315e-05
364,5,5,0.99999994,9,6.8178965e-09
365,0,0,0.9999885,8,9.618312e-06
366,6,6,0.99870455,0,0.0008035005
367,5,5,0.9999998,3,1.2792391e-07
368,6,6,0.999955,5,4.4502154e-05
369,3,3,0.99994785,5,2.7626944e-05
370,7,7,0.99846584,3,0.0011620205
371,2,2,0.9999996,1,2.61133e-07
372,0,0,0.99991244,6,8.497451e-05
373,8,8,0.9999998,9,1.4908913e-07
374,8,8,0.99999887,2,1.0563632e-06
375,5,5,0.99999994,6,1.8325785e-08
376,4,4,0.9999736,9,2.6142052e-05
377,1,1,0.99998385,7,7.675771e-06
378,1,1,0.9999457,8,3.21029e-05
379,4,4,0.9999997,2,2.8096852e-07
380,0,0,0.99999005,6,9.884844e-06
381,3,3,0.99865097,2,0.00068990584
382,3,3,0.9999996,5,2.5912556e-07
383,7,7,0.997084,3,0.002139389
384,6,6,0.99999994,5,1.7356165e-08
385,1,1,0.99997634,8,1.6722375e-05
386,6,6,0.99998206,5,1.658857e-05
387,2,2,0.9999884,8,7.73524e-06
388,1,1,0.9999971,2,1.2768011e-06
389,9,9,0.999751,8,0.00020572859
390,2,2,0.99999136,3,4.072285e-06
391,8,8,0.99986243,2,0.00013746062
392,6,6,0.9999998,5,1.5293327e-07
393,1,1,0.9999433,9,1.8155106e-05
394,9,9,0.9991102,8,0.0007988282
395,5,5,0.99999815,3,1.8116917e-06
396,2,2,0.99999994,3,2.5555229e-08
397,5,5,0.999989,8,9.53929e-06
398,4,4,0.9999998,5,6.228666e-08
399,4,4,0.99999744,2,1.8944372e-06
400,2,2,0.9999905,3,3.917705e-06
401,8,8,0.99999994,3,1.4861861e-08
402,3,3,0.9999992,8,4.273585e-07
403,8,8,0.99992925,9,6.3670384e-05
404,2,2,0.9995907,7,0.00039954198
405,4,4,0.99999994,8,9.8902255e-09
406,5,5,0.99997824,6,1.837573e-05
407,0,0,0.9999996,6,2.014163e-07
408,3,3,0.9999965,5,3.2699961e-06
409,1,1,0.9993069,8,0.00038642788
410,7,7,0.9999867,3,7.642972e-06
411,7,7,0.98987055,2,0.006813299
412,5,5,0.99863786,3,0.0013602945
413,7,7,0.9999179,2,3.2320604e-05
414,9,9,0.99998647,8,1.2932488e-05
415,7,7,0.9996923,9,0.00013497601
416,1,1,0.99998075,8,1.5911239e-05
417,9,9,0.9990335,8,0.0007917459
418,2,2,0.9999998,7,5.7780927e-08
419,1,1,0.99997,8,1.0854183e-05
420,4,4,0.9904404,9,0.0058218436
421,2,2,0.99936527,0,0.00059161015
422,9,9,0.99999017,8,9.238113e-06
423,2,2,0.99999887,3,7.190744e-07
424,0,0,0.9999997,2,1.4655977e-07
425,4,4,0.99993366,6,6.5857326e-05
426,9,9,0.9999979,8,1.2876461e-06
427,1,1,0.9999539,4,1.631519e-05
428,4,4,0.9999859,8,8.254133e-06
429,8,8,0.99999994,9,3.062612e-08
430,1,1,0.9999984,8,6.613828e-07
431,8,8,0.99998325,2,1.472628e-05
432,4,4,0.9997785,2,0.00017069344
433,5,5,0.99997884,8,1.6526114e-05
434,9,9,0.99993616,3,5.814637e-05
435,8,8,0.9954679,9,0.004258097
436,8,8,0.9999986,9,1.1701641e-06
437,3,3,0.9999965,5,2.0247485e-06
438,7,7,0.9962653,2,0.0033654142
439,6,6,0.99964654,5,0.00032924768
440,0,0,0.99999636,2,2.3193516e-06
441,0,0,0.9999952,6,4.292191e-06
442,3,3,0.9999991,5,7.9118723e-07
443,0,0,0.9998467,8,0.000107598615
444,2,2,0.9907628,8,0.008743108
445,6,6,0.7405193,0,0.25825128
446,6,6,0.99995166,5,4.436078e-05
447,4,4,0.97031516,9,0.026377894
448,9,8,0.88682973,9,0.11175688
449,3,3,0.5917643,5,0.40818477
450,3,3,0.982193,5,0.017802458
451,3,3,0.9999986,8,1.0310415e-06
452,2,2,0.99990577,1,9.400234e-05
453,3,3,0.99999994,8,2.441181e-09
454,9,9,0.9999029,4,7.891581e-05
455,1,1,0.9998854,2,6.357561e-05
456,2,2,0.9997213,1,0.0002762631
457,6,6,0.9992441,5,0.00065024494
458,8,8,0.99999994,9,4.5841344e-09
459,0,0,0.99999815,6,7.805049e-07
460,5,5,0.99693227,9,0.0028856958
461,6,6,0.99999994,4,1.3594872e-08
462,6,6,0.9988965,5,0.0010839398
463,6,6,0.99999994,5,5.709064e-09
464,3,3,0.99899244,8,0.00093508506
465,8,8,0.9999973,9,2.3525733e-06
466,8,8,0.9999998,2,1.406813e-07
467,2,2,0.99999255,7,5.9054073e-06
468,7,7,0.9970718,3,0.0015698405
469,5,5,0.99994284,8,5.6187968e-05
470,8,8,0.9999991,3,4.823211e-07
471,9,9,0.99956566,3,0.00017176823
472,6,6,0.9999998,0,8.604934e-08
473,1,1,0.9997649,4,0.000101255646
474,8,8,0.9999998,3,9.180246e-08
475,4,4,0.9999743,9,2.5479518e-05
476,1,1,0.99998635,2,8.5868405e-06
477,2,2,0.9999998,1,8.323835e-08
478,5,5,0.99994415,6,4.9785496e-05
479,9,9,0.9987295,5,0.0011121138
480,1,1,0.9999991,2,4.3701007e-07
481,9,9,0.9999997,4,1.3682504e-07
482,7,7,0.99988216,2,9.319374e-05
483,5,5,0.99998075,7,8.101547e-06
484,4,4,0.9999998,8,6.596499e-08
485,0,0,0.9999955,9,3.1650789e-06
486,8,8,0.99999994,2,4.8280356e-08
487,9,9,0.99997836,5,1.2011938e-05
488,9,9,0.9984711,8,0.0015261382
489,1,1,0.99999434,8,3.577935e-06
490,0,0,0.9783261,4,0.018406376
491,5,5,0.9999942,9,5.6183703e-06
492,2,2,0.94584405,8,0.053994607
493,3,3,0.99999994,5,1.1404366e-10
494,7,7,0.9997587,3,0.00023317065
495,8,8,0.99610937,2,0.0026970773
496,9,9,0.99999684,8,2.9125483e-06
497,4,4,0.93910956,8,0.057821807
498,0,0,0.99508816,8,0.0048201876
499,6,6,0.99985385,8,8.979143e-05
500,3,3,0.99999994,8,2.2866558e-09
501,9,9,0.9999985,8,1.2161039e-06
502,5,5,0.9999806,3,1.226286e-05
503,2,2,0.99999994,8,1.4486607e-08
504,1,1,0.9999239,9,2.7156715e-05
505,3,3,0.999993,8,6.9574708e-06
506,1,1,0.9999978,2,1.7822039e-06
507,3,3,0.9996094,5,0.00033826623
508,6,6,0.9998722,5,7.2560986e-05
509,5,5,0.9999978,3,2.0153727e-06
510,7,7,0.97159475,3,0.028383125
511,4,4,0.9904956,8,0.0077188406
512,2,2,0.99999994,1,7.697816e-09
513,2,2,0.99999017,8,9.771229e-06
514,6,6,0.99999994,4,4.5271275e-08
515,3,3,0.9999917,8,7.3247757e-06
516,2,2,0.99999994,4,1.3896337e-08
517,6,6,0.99999946,4,3.1312416e-07
518,5,5,0.9999997,8,2.7878122e-07
519,4,4,0.9995485,9,0.00024793477
520,8,8,0.9999998,2,7.4849275e-08
521,9,9,0.99999315,8,4.1228927e-06
522,7,7,0.99631095,3,0.0036615669
523,1,1,0.9980361,7,0.0011289606
524,3,3,0.9999197,2,7.2113464e-05
525,0,0,0.9999992,2,3.9447758e-07
526,3,3,0.99997634,5,2.364915e-05
527,8,8,0.9999977,2,1.941569e-06
528,3,3,0.999585,8,0.00038645708
529,1,1,0.9999954,8,1.9187323e-06
530,9,9,0.9998848,8,0.00010794486
531,3,3,0.99979305,6,0.00018125714
532,4,4,0.9997213,9,0.00016428632
533,4,4,0.99999994,2,2.139712e-08
534,6,6,0.9999692,5,2.9239798e-05
535,4,4,0.99999946,2,4.5868478e-07
536,2,2,0.9999996,1,3.0231672e-07
537,1,1,0.9999979,8,9.081703e-07
538,8,8,0.9999991,2,8.012345e-07
539,2,2,0.9999992,8,7.194135e-07
540,5,5,0.9999992,9,7.0136105e-07
541,4,4,0.99998325,9,1.5595253e-05
542,8,8,0.99620795,9,0.0014560285
543,8,8,0.9946316,3,0.0021554998
544,4,4,0.9999998,5,1.664501e-07
545,0,0,0.9999861,2,1.0263956e-05
546,0,0,0.9999986,6,1.3466105e-06
547,2,2,0.99965274,8,0.0003464346
548,3,3,0.9999985,5,1.384576e-06
549,2,2,0.9999979,0,1.9716126e-06
550,7,7,0.99736774,2,0.0013582457
551,7,7,0.94467163,2,0.039981548
552,0,0,0.99465376,6,0.0033931972
553,8,8,0.9999966,6,2.2547886e-06
554,7,7,0.9999561,4,2.7119155e-05
555,4,4,0.9999992,8,4.2392927e-07
556,4,4,0.99999815,9,7.2334853e-07
557,7,7,0.84891945,2,0.13496752
558,9,9,0.99999136,8,7.5506437e-06
559,6,6,0.9999884,4,1.1328752e-05
560,9,9,0.99990815,8,8.2505045e-05
561,0,0,0.9998811,6,9.80911e-05
562,9,9,0.99869,8,0.0013040206
563,8,8,0.9999985,2,1.0801841e-06
564,0,0,0.9999679,6,3.1586547e-05
565,4,4,0.99928236,8,0.00067029416
566,6,6,0.9994415,5,0.0003932805
567,0,0,0.9999873,2,4.5540914e-06
568,6,6,0.99999887,5,8.349065e-07
569,3,3,0.99999684,8,2.228076e-06
570,5,5,0.99999803,3,9.636982e-07
571,4,4,0.9796111,9,0.020284912
572,8,8,0.9999936,9,5.554256e-06
573,3,3,0.9999996,5,3.6793924e-07
574,3,3,0.99996907,8,2.9634106e-05
575,9,9,0.9999376,4,3.0080142e-05
576,3,3,0.9999971,5,2.4530143e-06
577,3,3,0.9999998,8,9.3042225e-08
578,3,3,0.9999704,8,2.3847657e-05
579,7,7,0.99999756,3,1.3186566e-06
580,8,8,0.9999983,3,1.3684331e-06
581,0,0,0.999958,6,4.1776297e-05
582,8,8,0.8359558,2,0.16267107
583,2,2,0.98323256,7,0.013661407
584,1,1,0.9999582,4,1.8986035e-05
585,7,7,0.99970794,2,0.00015553973
586,0,0,0.99998885,6,1.0562203e-05
587,6,6,0.9999986,5,1.1608939e-06
588,5,5,0.99999577,3,4.1180074e-06
589,4,4,0.99999934,9,3.7483807e-07
590,3,3,0.9999996,5,3.2425683e-07
591,8,8,0.9966137,3,0.0021114645
592,0,0,0.99999934,2,3.2069462e-07
593,9,9,0.8843086,8,0.11434318
594,6,6,0.9999911,5,8.638621e-06
595,3,3,0.99998516,8,1.220188e-05
596,8,8,0.9999898,2,7.47724e-06
597,0,0,0.9999811,6,1.3522769e-05
598,9,9,0.9995671,8,0.00043209904
599,9,9,0.9999959,8,3.8438707e-06
600,6,6,0.9999991,5,8.7728495e-07
601,8,8,0.9999934,2,3.6298907e-06
602,6,6,0.99999994,4,3.6731e-09
603,8,8,0.9999942,9,3.1472857e-06
604,5,5,0.99999994,8,1.6364552e-08
605,7,7,0.999957,9,2.2472259e-05
606,8,8,0.99999994,2,4.8342413e-10
607,6,6,0.99999994,5,3.223172e-08
608,0,0,0.9999978,9,1.8317028e-06
609,2,2,0.9999983,8,1.5078397e-06
610,4,4,0.9994179,6,0.0004131669
611,0,0,0.99998754,6,5.2148334e-06
612,2,2,0.9999996,8,2.5413325e-07
613,2,2,0.99868655,8,0.0013000892
614,3,3,0.99999636,8,3.118446e-06
615,1,1,0.9992393,2,0.00068752293
616,9,9,0.9999493,5,3.20611e-05
617,7,7,0.9655462,2,0.03440022
618,5,5,0.99999505,9,4.6551095e-06
619,1,1,0.46680266,8,0.44865182
620,0,0,0.9999992,2,7.474313e-07
621,8,8,0.99999994,9,4.021698e-08
622,4,4,0.99999994,6,2.5098306e-08
623,6,6,0.9999997,4,9.101839e-08
624,2,2,0.9999817,8,1.1451902e-05
625,6,6,0.94287175,4,0.05710846
626,7,7,0.99988633,3,0.00010481776
627,9,9,0.9864083,8,0.013563948
628,3,3,0.9999595,8,3.8332237e-05
629,2,2,0.9999799,3,1.0476636e-05
630,9,9,0.99995846,4,2.4721689e-05
631,8,8,0.9999991,2,8.567772e-07
